System,Version,ClassName,Synthetic,#Bytes,Access,ParentClass,#Interfaces,#Fields,#SyntheticFields,#Methods,#SyntheticMethods,#Nested,FanIn,FanOut,WeightedMethodCount,#Instructions,LoadCount,StoreCount,#TypeConstructions,
ant,ant-1.7.0,org/apache/tools/ant/AntClassLoader,0,22409,public super,java/lang/ClassLoader,1,16,2,57,2,1,29,53,174,1815,531,143,54,
ant,ant-1.7.0,org/apache/tools/ant/AntClassLoader$ResourceEnumeration,0,1667,private,java/lang/Object,1,4,1,4,0,0,1,11,7,67,22,5,1,
ant,ant-1.7.0,org/apache/tools/ant/AntTypeDefinition,0,7144,public super,java/lang/Object,0,7,1,22,1,0,9,19,61,559,160,29,7,
ant,ant-1.7.0,org/apache/tools/ant/BuildEvent,0,1976,public super,java/util/EventObject,0,6,0,11,0,0,16,8,11,80,36,0,3,
ant,ant-1.7.0,org/apache/tools/ant/BuildException,0,2839,public super,java/lang/RuntimeException,0,2,0,15,0,0,454,10,17,140,57,4,8,
ant,ant-1.7.0,org/apache/tools/ant/BuildFileTest,0,8095,public abstract super,junit/framework/TestCase,0,6,0,34,2,2,1,20,45,508,151,24,17,
ant,ant-1.7.0,org/apache/tools/ant/BuildFileTest$AntOutputStream,0,719,static private,java/io/OutputStream,0,1,0,2,0,0,1,4,2,13,5,0,1,
ant,ant-1.7.0,org/apache/tools/ant/BuildFileTest$AntTestListener,0,1721,private,java/lang/Object,1,2,1,8,0,0,1,7,12,47,14,0,1,
ant,ant-1.7.0,org/apache/tools/ant/BuildListener,0,363,public abstract interface,java/lang/Object,1,0,0,7,0,0,11,4,7,0,0,0,0,
ant,ant-1.7.0,org/apache/tools/ant/BuildLogger,0,323,public abstract interface,java/lang/Object,1,0,0,4,0,0,5,6,4,0,0,0,0,
ant,ant-1.7.0,org/apache/tools/ant/ComponentHelper,0,21619,public super,java/lang/Object,0,21,5,40,1,1,13,47,122,1608,455,120,26,
ant,ant-1.7.0,org/apache/tools/ant/ComponentHelper$AntTypeTable,0,2186,static private,java/util/Hashtable,0,1,0,8,0,0,1,10,15,92,33,6,1,
ant,ant-1.7.0,org/apache/tools/ant/DefaultLogger,0,4876,public super,java/lang/Object,1,7,0,18,0,0,7,20,34,332,102,20,8,
ant,ant-1.7.0,org/apache/tools/ant/DemuxInputStream,0,811,public super,java/io/InputStream,0,1,0,3,0,0,1,5,4,30,11,1,1,
