System,Version,ClassName,Synthetic,#Bytes,Access,ParentClass,#Interfaces,#Fields,#SyntheticFields,#Methods,#SyntheticMethods,#Nested,FanIn,FanOut,WeightedMethodCount,#Instructions,LoadCount,StoreCount,#TypeConstructions,
emma,emma-2.0.4019,com/vladium/app/IAppVersion,0,687,public abstract interface,java/lang/Object,0,10,0,0,0,0,1,3,0,0,0,0,0,
emma,emma-2.0.4019,com/vladium/emma/Command,0,7808,public abstract super,java/lang/Object,0,13,0,18,0,0,4,29,49,463,123,18,14,
emma,emma-2.0.4019,com/vladium/emma/EMMAException,0,1104,public super,com/vladium/util/exception/AbstractException,0,0,0,6,0,0,0,5,6,27,15,0,6,
emma,emma-2.0.4019,com/vladium/emma/EMMAProperties,0,4507,public abstract super,java/lang/Object,0,20,0,7,0,0,9,19,10,129,30,11,4,
emma,emma-2.0.4019,com/vladium/emma/EMMARuntimeException,0,1132,public super,com/vladium/util/exception/AbstractRuntimeException,0,0,0,6,0,0,18,5,6,27,15,0,6,
emma,emma-2.0.4019,com/vladium/emma/IAppConstants,0,1321,public abstract interface,java/lang/Object,1,12,0,1,0,1,3,7,2,11,0,0,0,
emma,emma-2.0.4019,com/vladium/emma/IAppConstants$1,1,752,static,java/lang/Object,0,1,1,1,1,0,1,5,1,10,2,1,0,
emma,emma-2.0.4019,com/vladium/emma/IAppErrorCodes,0,892,public abstract interface,java/lang/Object,0,17,0,0,0,0,9,2,0,0,0,0,0,
emma,emma-2.0.4019,com/vladium/emma/data/ClassDescriptor,0,4483,public final super,java/lang/Object,2,7,0,15,0,0,10,14,34,332,104,20,6,
emma,emma-2.0.4019,com/vladium/emma/data/CoverageData,0,4901,final super,java/lang/Object,2,1,0,11,0,0,1,25,26,310,111,40,9,
emma,emma-2.0.4019,com/vladium/emma/data/CoverageOptions,0,2266,public final super,java/lang/Object,1,3,0,8,0,0,7,9,8,94,31,6,4,
emma,emma-2.0.4019,com/vladium/emma/data/DataFactory,0,12704,public abstract super,java/lang/Object,0,9,0,22,0,4,8,39,95,1097,267,97,30,
emma,emma-2.0.4019,com/vladium/emma/data/DataFactory$RandomAccessFileInputStream,0,1492,final static private,java/io/BufferedInputStream,0,1,0,6,0,0,1,7,9,58,22,3,2,
emma,emma-2.0.4019,com/vladium/emma/data/DataFactory$RandomAccessFileOutputStream,0,1456,final static private,java/io/BufferedOutputStream,0,1,0,6,0,0,1,7,6,48,17,0,2,
